Province,Area_km2
Alborz,5833
Ardabil,17800
Bushehr,22743
Chaharmahal and Bakhtiari,16332
East Azerbaijan,45650
Fars,122608
Gilan,14042
Golestan,20195
Hamadan,19368
Hormozgan,70669
Ilam,20133
Isfahan,107029
Kerman,183285
Kermanshah,24998
Khuzestan,64055
Kohgiluyeh and Boyer-Ahmad,15504
Kurdistan,29137
Lorestan,28294
Markazi,29130
Mazandaran,23701
North Khorasan,28434
Qazvin,15549
Qom,11526
Razavi Khorasan,118884
Semnan,97491
Sistan and Baluchestan,180726
South Khorasan,151913
Tehran,18814
West Azerbaijan,37437
Yazd,76469
Zanjan,21773
